App Name,Description,Price,Google Play URL,App developer,Google Play developer URL,Relevance,Rating,Number of ratings,Category,Country,Last updated,Installs
MTN Mobile Selfcare,,Free,https://play.google.com/store/apps/details?id=biz.lgr.consumer,LGR Mobile,https://play.google.com/store/apps/developer?id=LGR+Mobile,Possible MTN app,4.2,10,Productivity,Swaziland,11-Dec-13,"1,000-5,000"
Mtn View CU,,Free,https://play.google.com/store/apps/details?id=ca.mvcu.mobileapp,InStride Resources,https://play.google.com/store/apps/developer?id=InStride+Resources,non-MTN,4.3,9,Finance,Canada,16-Aug-17,100-500
MTN Sauvegarde,,Free,https://play.google.com/store/apps/details?id=cg.mtn.mtnsauvegarde,MTN Congo S.A.,https://play.google.com/store/apps/developer?id=MTN+Congo+S.A.,Possible MTN app,4.4,85,Tools,Congo Brazzaville,01-Feb-17,"10,000-50,000"
Mtn Agence Mobile,,Free,https://play.google.com/store/apps/details?id=ci.mtn.android,Sidoine Bosso,https://play.google.com/store/apps/developer?id=Sidoine+Bosso,Risk,4.5,24,Tools,Côte d'Ivoire,28-Sep-15,"1,000-5,000"
MTN CLOUD DRIVE,,Free,https://play.google.com/store/apps/details?id=ci.mtn.drive,MTN Cote d'Ivoire,https://play.google.com/store/apps/developer?id=MTN+Cote+d%27Ivoire,Possible MTN app,3.4,13,Productivity,Côte d'Ivoire,26-Oct-16,500-1000
MTN EVENT,,Free,https://play.google.com/store/apps/details?id=ci.mtn.misscimtnapp,MTN Cote d'Ivoire,https://play.google.com/store/apps/developer?id=MTN+Cote+d%27Ivoire,Possible MTN app,4.4,27,News & Magazines,Côte d'Ivoire,30-Jan-15,"1,000-5,000"
MTN TV,,Free,https://play.google.com/store/apps/details?id=ci.mtn.mobiletv,MTN Cote d'Ivoire,https://play.google.com/store/apps/developer?id=MTN+Cote+d%27Ivoire,Possible MTN app,4.1,455,Video Players & Editors,Côte d'Ivoire,27-Jun-17,50000-100000
MTN APPLICATION DAY,,Free,https://play.google.com/store/apps/details?id=ci.mtn.mtnapplicationday,MTN Cote d'Ivoire,https://play.google.com/store/apps/developer?id=MTN+Cote+d%27Ivoire,Possible MTN app,4.1,13,Productivity,Côte d'Ivoire,13-May-15,"1,000-5,000"
MTN Mobile Money,,Free,https://play.google.com/store/apps/details?id=ci.mtn.mtnmobilemoney,MTN Cote d'Ivoire,https://play.google.com/store/apps/developer?id=MTN+Cote+d%27Ivoire,Possible MTN app,3.8,306,Productivity,Côte d'Ivoire,10-Jul-14,50000-100000
MTN Récompense,,Free,https://play.google.com/store/apps/details?id=ci.mtn.mtnrecompense,MTN Cote d'Ivoire,https://play.google.com/store/apps/developer?id=MTN+Cote+d%27Ivoire,Possible MTN app,4.2,9,Productivity,Côte d'Ivoire,01-Sep-14,500-1000
MTN SAUVEGARDE,,Free,https://play.google.com/store/apps/details?id=ci.mtn.mtnsauvegarde,MTN Cote d'Ivoire,https://play.google.com/store/apps/developer?id=MTN+Cote+d%27Ivoire,Possible MTN app,3.9,99,Productivity,Côte d'Ivoire,11-Aug-17,"10,000-50,000"
MTN Services,,Free,https://play.google.com/store/apps/details?id=ci.mtn.mtnservices,MTN Cote d'Ivoire,https://play.google.com/store/apps/developer?id=MTN+Cote+d%27Ivoire,Possible MTN app,4.1,244,Productivity,Côte d'Ivoire,06-Nov-14,"10,000-50,000"
Brainstorm SF Sep 2015 MTN,,Free,https://play.google.com/store/apps/details?id=co.za.itweb.brainstormmtnsep2015,ITWeb,https://play.google.com/store/apps/developer?id=ITWeb,Possible MTN app,n/a,0,Business,South Africa,12-Oct-15,Oct-50
Constant Connectivity,,Free,https://play.google.com/store/apps/details?id=co.za.itweb.constantconnectivity,ITWeb,https://play.google.com/store/apps/developer?id=ITWeb,Possible MTN app,4,1,Business,South Africa,08-Apr-14,100-500
MTN Data Centres,,Free,https://play.google.com/store/apps/details?id=co.za.itweb.MTN04DataCentres,ITWeb,https://play.google.com/store/apps/developer?id=ITWeb,Possible MTN app,4.5,13,Business,South Africa,06-Apr-15,"1,000-5,000"
MTN Financial Services Sector,,Free,https://play.google.com/store/apps/details?id=co.za.itweb.MTN06FinancialServices,ITWeb,https://play.google.com/store/apps/developer?id=ITWeb,Possible MTN app,n/a,0,Business,South Africa,06-Apr-15,50-100
MTN Public Sector Services,,Free,https://play.google.com/store/apps/details?id=co.za.itweb.MTN07PublicSector,ITWeb,https://play.google.com/store/apps/developer?id=ITWeb,Possible MTN app,n/a,0,Business,South Africa,06-Apr-15,50-100
Ezy4Me@MTN South Sudan,,Free,https://play.google.com/store/apps/details?id=com.agileeagles.ezy4memtnss,Agile Eagles Limited,https://play.google.com/store/apps/developer?id=Agile+Eagles+Limited,Risk,5,2,Communications,South Sudan,17-Mar-15,100-500
AirRewardz - Earn Phone Credit,,Free,https://play.google.com/store/apps/details?id=com.airrewardz,Air Rewardz,https://play.google.com/store/apps/developer?id=Air+Rewardz,3rd party,4.5,6295,Lifestyle,Global,01-Jul-17,"100,000-500,000"
MTN Airtime Topup,,Free,https://play.google.com/store/apps/details?id=com.AirtimeTopup98251,Verviant Consulting Services,https://play.google.com/store/apps/developer?id=Verviant+Consulting+Services,Possible MTN app,3.9,22,Productivity,Uganda,10-Jul-15,5000-10000
All Email Providers | Feed,,Free,https://play.google.com/store/apps/details?id=com.all.emails.mjgqfkckbfxzp_bodw,All In One App Solutions Inc,https://play.google.com/store/apps/developer?id=All+In+One+App+Solutions+Inc,3rd party,4.3,86,Communications,Global,04-Apr-17,"10,000-50,000"
,,Free,https://play.google.com/store/apps/details?id=com.androapps.yemencompnyservrc,andrapps,https://play.google.com/store/apps/developer?id=andrapps,3rd party,4.4,38,Tools,Yemen,05-Mar-17,"1,000-5,000"
,,Free,https://play.google.com/store/apps/details?id=com.androapps.yementelphone,andrapps,https://play.google.com/store/apps/developer?id=andrapps,3rd party,4.5,1869,Tools,Yemen,13-Aug-17,50000-100000
,,Free,https://play.google.com/store/apps/details?id=com.androidha.se_perator,AndroidHa,https://play.google.com/store/apps/developer?id=AndroidHa,3rd party,5,17,Tools,Iran,27-Jul-17,100-500
Latest Fashion Styles Africa,,Free,https://play.google.com/store/apps/details?id=com.andromo.dev415642.app399075,Afrika Inspire,https://play.google.com/store/apps/developer?id=Afrika+Inspire,3rd party,4.1,8660,Lifestyle,Nigeria,15-Aug-17,"1,000,000-5,000,000"
MTN: MOBILE TELEVISION NETWORK,,Free,https://play.google.com/store/apps/details?id=com.app.mobiletelevisionnetwork,"The MTN Company, LLC","https://play.google.com/store/apps/developer?id=The+MTN+Company,+LLC",non-MTN,4.6,16,Entertainment,Global,05-Mar-17,"1,000-5,000"
MyMTN Syria,,,https://play.google.com/store/apps/details?id=com.apps2you.mymtn,MTN Syria,https://play.google.com/store/apps/dev?id=7365630497726336873,,,,,,,
Airtime Balance M South Africa,,,https://play.google.com/store/apps/details?id=com.aroute.atbmtnsa,Aroute,https://play.google.com/store/apps/dev?id=8236388474413823165,,,,,,,
EasyMTN,,,https://play.google.com/store/apps/details?id=com.automation29.forwa.easymtn,Peirazo,https://play.google.com/store/apps/developer?id=Peirazo,,,,,,,
MTN HUB,,,https://play.google.com/store/apps/details?id=com.avatech.mountainhub.prod,Mountain Hub,https://play.google.com/store/apps/developer?id=Mountain+Hub,,,,,,,
RwandaAirtime.com,,,https://play.google.com/store/apps/details?id=com.avmm.rwa,"Airtime, Vouchers & Much More","https://play.google.com/store/apps/developer?id=Airtime,+Vouchers+%26+Much+More",,,,,,,
